epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,54.6565,1.47376,3.98732,1.66865,0.40992,0.03719,0.14753,0.08138,1.23445,3.12984,1.52129,0.00124339,0.000414462,0.00124339,0.000414462,0.00124339,0.000414462,0.00124339,0.000414462
2,97.8809,1.30487,3.07494,1.42597,0.34366,0.45634,0.38893,0.26637,1.26463,2.26746,1.52952,0.00244402,0.000814672,0.00244402,0.000814672,0.00244402,0.000814672,0.00244402,0.000814672
3,139.088,1.26367,2.57672,1.3623,0.66661,0.37064,0.48288,0.32281,1.2383,2.06337,1.47043,0.00359515,0.00119838,0.00359515,0.00119838,0.00359515,0.00119838,0.00359515,0.00119838
4,179.972,1.20981,2.2656,1.32514,0.54507,0.51692,0.56332,0.39012,1.1898,1.81121,1.43682,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575,0.00352725,0.00117575
5,220.711,1.17111,2.08554,1.28746,0.65402,0.51795,0.58631,0.39113,1.21584,1.69457,1.47897,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151,0.003453,0.001151
6,261.597,1.13534,1.94493,1.27,0.68903,0.53304,0.59373,0.40832,1.2023,1.57093,1.47307,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625,0.00337875,0.00112625
7,302.458,1.11077,1.85989,1.25607,0.67502,0.49315,0.55673,0.38327,1.18392,1.56481,1.45012,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015,0.0033045,0.0011015
8,346.568,1.09536,1.77391,1.23864,0.65658,0.53936,0.60916,0.41224,1.20404,1.45893,1.43158,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675,0.00323025,0.00107675
9,388.391,1.09882,1.71979,1.24789,0.71233,0.50242,0.5803,0.39359,1.19727,1.417,1.44259,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052,0.003156,0.001052
10,428.438,1.08127,1.64369,1.23472,0.73005,0.47983,0.59779,0.40122,1.24072,1.42234,1.48588,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725,0.00308175,0.00102725
11,468.417,1.05256,1.55987,1.2148,0.67915,0.51846,0.57555,0.38354,1.22311,1.43964,1.46984,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025,0.0030075,0.0010025
12,509.054,1.04726,1.54345,1.21541,0.67804,0.50021,0.57296,0.3902,1.23015,1.44211,1.49236,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775,0.00293325,0.00097775
13,549.042,1.03176,1.49465,1.20442,0.72955,0.47264,0.58361,0.38997,1.23056,1.44094,1.51088,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953,0.002859,0.000953
14,589.075,1.02714,1.436,1.19927,0.73194,0.54266,0.62176,0.40783,1.26778,1.37029,1.5112,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825,0.00278475,0.00092825
15,629.962,1.00549,1.41512,1.18534,0.69178,0.54143,0.58579,0.39143,1.21284,1.45265,1.47918,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035,0.0027105,0.0009035
16,670.504,0.9894,1.36032,1.17502,0.75894,0.49078,0.57045,0.39602,1.20689,1.42764,1.47097,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875,0.00263625,0.00087875
17,710.371,0.97431,1.31717,1.16185,0.6825,0.52782,0.57107,0.38866,1.22924,1.40726,1.50027,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854,0.002562,0.000854
18,750.153,0.97561,1.28162,1.16419,0.67526,0.5856,0.61274,0.41667,1.22199,1.36236,1.49984,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925,0.00248775,0.00082925
19,790.015,0.9631,1.27961,1.15625,0.86921,0.45272,0.58241,0.37737,1.25386,1.40141,1.51102,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045,0.0024135,0.0008045
20,830.148,0.91837,1.19927,1.13181,0.65669,0.55926,0.61452,0.40588,1.24528,1.35509,1.5177,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975,0.00233925,0.00077975
21,870.937,0.9231,1.17295,1.13289,0.70089,0.53017,0.5955,0.39351,1.27494,1.35457,1.5563,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755,0.002265,0.000755
22,911.173,0.92277,1.15329,1.13015,0.80507,0.49652,0.61451,0.41212,1.25615,1.32756,1.5156,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025,0.00219075,0.00073025
23,951.282,0.91931,1.16132,1.13405,0.6785,0.50683,0.56136,0.38615,1.24981,1.42429,1.57516,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055,0.0021165,0.0007055
24,991.709,0.91183,1.12611,1.11904,0.74448,0.49297,0.57673,0.3944,1.25843,1.44125,1.56017,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075,0.00204225,0.00068075
25,1031.67,0.91013,1.10266,1.12339,0.69446,0.55197,0.57938,0.39413,1.25399,1.37745,1.53634,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656,0.001968,0.000656
26,1074.15,0.89641,1.11598,1.12078,0.79163,0.49645,0.59593,0.39851,1.24467,1.39017,1.56167,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125,0.00189375,0.00063125
27,1116.54,0.87851,1.0594,1.10715,0.71735,0.5609,0.59299,0.40466,1.25798,1.34638,1.56012,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065,0.0018195,0.0006065
28,1159.34,0.88185,1.0536,1.11226,0.72194,0.54009,0.58192,0.3923,1.26191,1.37079,1.55287,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175,0.00174525,0.00058175
29,1201.85,0.88405,1.01929,1.10599,0.61904,0.56043,0.57295,0.37767,1.23985,1.387,1.54614,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557,0.001671,0.000557
30,1244.62,0.85827,1.02591,1.09846,0.69735,0.51116,0.57111,0.39238,1.22918,1.41337,1.5443,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225,0.00159675,0.00053225
31,1286.94,0.84978,0.99983,1.09379,0.71379,0.4857,0.53528,0.3662,1.2506,1.49567,1.55967,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075,0.0015225,0.0005075
32,1329.55,0.85157,0.98673,1.08763,0.6599,0.52553,0.55288,0.37743,1.26306,1.49537,1.59204,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275,0.00144825,0.00048275
33,1370.77,0.83818,0.98115,1.08669,0.69873,0.55134,0.57441,0.38986,1.23602,1.38947,1.56843,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458,0.001374,0.000458
34,1411.79,0.84766,0.99088,1.08424,0.64045,0.55684,0.56283,0.37962,1.28768,1.44703,1.60428,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325,0.00129975,0.00043325
35,1453.33,0.83712,0.96957,1.0825,0.73541,0.53634,0.58091,0.39642,1.27535,1.39813,1.61317,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085,0.0012255,0.0004085
36,1494.7,0.82165,0.95932,1.07603,0.79749,0.49175,0.57321,0.38758,1.25255,1.4151,1.58779,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375,0.00115125,0.00038375
37,1535.81,0.81149,0.92908,1.07194,0.73506,0.54536,0.58566,0.3972,1.25407,1.3435,1.59138,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359,0.001077,0.000359
38,1577.18,0.80581,0.92959,1.06308,0.68609,0.5612,0.5835,0.39653,1.27817,1.3907,1.62506,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425,0.00100275,0.00033425
39,1618.4,0.78871,0.90705,1.06285,0.74646,0.51768,0.58547,0.38591,1.27673,1.42672,1.62806,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095,0.0009285,0.0003095
40,1660.17,0.7878,0.89545,1.0633,0.68143,0.52931,0.57149,0.38556,1.27519,1.4211,1.61762,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475,0.00085425,0.00028475
41,1747.67,0.74915,0.85049,1.06041,0.68385,0.55702,0.57545,0.3862,1.2647,1.37189,1.59344,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026,0.00078,0.00026
42,1788.85,0.71849,0.81223,1.04184,0.7711,0.52396,0.58229,0.3883,1.2607,1.38306,1.60689,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525,0.00070575,0.00023525
43,1829.52,0.71229,0.79731,1.03873,0.62496,0.58314,0.56785,0.38682,1.26896,1.38812,1.61242,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105,0.0006315,0.0002105
44,1870,0.69601,0.77703,1.0268,0.71641,0.53483,0.57262,0.38536,1.27901,1.37222,1.63561,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575,0.00055725,0.00018575
45,1910.3,0.68606,0.76964,1.01961,0.65384,0.58467,0.57232,0.38799,1.28246,1.40561,1.6533,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161,0.000483,0.000161
46,1950.38,0.6839,0.76403,1.01781,0.64182,0.58531,0.58019,0.39079,1.28744,1.38562,1.65236,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625,0.00040875,0.00013625
47,1990.64,0.67968,0.75669,1.02085,0.66867,0.58427,0.58289,0.387,1.27244,1.40315,1.63573,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115,0.0003345,0.0001115
